Designator,Mid X,Mid Y,Rotation,Layer
BT1,219.167767,-85.297767,270.0,bottom
C1,212.967767,-74.867767,90.0,top
C2,219.867767,-74.867767,270.0,top
C4,210.567767,-84.712767,90.0,top
D1,215.412767,-78.667767,180.0,top
D2,222.967767,-71.767767,0.0,top
R1,215.422767,-77.767767,180.0,top
R2,216.967767,-78.222767,90.0,top
R3,212.067767,-83.567767,180.0,top
R4,214.167767,-83.567767,0.0,top
U1,216.467767,-75.367767,0.0,top
U2,219.054267,-85.591767,0.0,top
U3,215.472767,-88.680267,0.0,top
