Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT_504,1,LIR2032,C17422337
"C1, C2",201,2,4.7 μF,C253012
C4,201,1,1 uF,C53067
D1,201,1,RED,C531176
D2,D_SOD-523,1,1N4148WT,C2099
R1,201,1,2.2 kΩ,C100164
R2,201,1,470 Ω,C163491
"R3, R4",201,2,10 kΩ,C100126
U1,SOT-23-5,1,MCP73831-2-OT,C14879
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
