Designator,Mid X,Mid Y,Rotation,Layer
BT1,168.1115,-98.034,90.0,bottom
C1,174.98,-95.5,180.0,top
C2,163.07,-94.95,0.0,top
C3,163.07,-96.7,0.0,top
C4,168.45,-87.925,180.0,top
C5,165.52,-94.95,0.0,top
D1,166.525,-93.6,0.0,top
Q1,173.675,-102.65,0.0,top
R1,165.52,-96.7,0.0,top
R2,166.43,-91.0,0.0,top
R3,167.97,-94.95,0.0,top
R4,167.97,-96.7,0.0,top
U1,173.5625,-92.75,180.0,top
U2,168.1115,-98.034,0.0,top
U3,165.65,-102.6,90.0,top
