timestamp,temperature_temperature,humidity_humidity,pressure_pressure,accelerometer_Ax,accelerometer_Ay,accelerometer_Az,gyroscope_x,gyroscope_y,gyroscope_z,led_R,led_G,led_B,quaternion_x,quaternion_y,quaternion_z,quaternion_w,bsec_bsec,co2_co2,gas_gas
2025-12-17T16:46:47.411Z,47.89999771,10,990.1865845,755,745,3926,360,202,-518,,,,0.063781574,0.02783196,-0.020324655,0.99731189,25,500,47884
2025-12-17T16:46:46.911Z,47.79999924,10,990.1865845,-48,463,4114,-120,-68,-189,,,,0.079040326,0.035095125,-0.00561522,0.996213257,0,0,41561
2025-12-17T16:46:46.411Z,47.79999924,10,990.1865845,-488,355,4166,-506,77,-345,,,,0.100768782,0.03198234,-0.004089345,0.994321167,25,500,56482
2025-12-17T16:46:45.911Z,47.79999924,10,990.1709595,-360,615,4049,-344,10,3,,,,0.10754367,0.033874426,-0.00476073,0.993588746,25,534,54497
2025-12-17T16:46:45.411Z,47.22999954,10,990.1709595,-249,768,3963,-174,-8,60,,,,0.109374717,0.036743071,-0.00622557,0.99328357,44,534,60214
2025-12-17T16:46:44.911Z,47.82999802,10,990.2021484,-96,379,4094,-74,-285,10,,,,0.133727685,0.031616129,-0.00634764,0.990475953,44,534,60461
2025-12-17T16:46:44.411Z,47.77000046,10,990.2021484,190,1373,3792,-490,162,192,,,,0.148498148,0.031677164,-0.044006236,0.987363219,43,532,60296
2025-12-17T16:46:43.911Z,46.75999832,10,990.2177734,-237,1113,3952,30,30,46,,,,0.148864359,0.029418871,-0.048400756,0.987180114,43,532,60668
2025-12-17T16:46:43.411Z,47.32999802,10,990.2801514,120,1117,3946,-215,359,13,,,,0.146850213,0.033386145,-0.059997406,0.986752868,43,532,59365
2025-12-17T16:46:42.911Z,47.34999847,10,990.2801514,-885,912,4073,-32,-2,432,,,,0.144286737,0.033935461,-0.06408675,0.986813903,41,528,60502
