timestamp,temperature_temperature,humidity_humidity,pressure_pressure,accelerometer_Ax,accelerometer_Ay,accelerometer_Az,gyroscope_x,gyroscope_y,gyroscope_z,led_R,led_G,led_B,quaternion_x,quaternion_y,quaternion_z,quaternion_w,bsec_bsec,co2_co2,gas_gas
2026-02-17T21:33:38.335Z,25.920000076293945,29,986.2943725585938,-1755,3140,2002,20,-30,-8,,,,0.34063634276390076,-0.3684072494506836,-0.8442971706390381,0.1877436637878418,128,673,33507
2026-02-17T21:33:38.325Z,25.899999618530273,29,986.2943725585938,-1811,3144,1848,-24,-4,-38,,,,0.34081944823265076,-0.3682851791381836,-0.8438088893890381,0.1901240199804306,122,673,33892
2026-02-17T21:33:38.315Z,25.920000076293945,29,986.2319946289062,-1770,3149,1920,29,-38,-40,,,,0.34857088327407837,-0.3684072494506836,-0.8402078151702881,0.1914057582616806,122,671,33558
2026-02-17T21:33:38.305Z,25.920000076293945,29,986.25537109375,-1794,3139,1899,-40,-94,53,,,,0.357726126909256,-0.360289603471756,-0.8385598659515381,0.1973261535167694,121,671,33608
2026-02-17T21:33:38.295Z,25.920000076293945,29,986.25537109375,-2098,3291,1901,-6,28,-118,,,,0.357115775346756,-0.363585501909256,-0.8367288112640381,0.2001948058605194,121,671,33970
2026-02-17T21:33:38.285Z,25.93000030517578,29,986.2787475585938,-1967,3204,1831,-168,-34,-158,,,,0.357909232378006,-0.3663930892944336,-0.8344705104827881,0.20306344330310822,121,666,33970
2026-02-17T21:33:38.275Z,25.920000076293945,29,986.2787475585938,-1902,3068,1851,-47,-14,-107,,,,0.35156160593032837,-0.3682241439819336,-0.8346536159515381,0.20983833074569702,120,666,33892
2026-02-17T21:33:38.265Z,25.920000076293945,29,986.2241821289062,-1660,3313,2020,-7,49,-98,,,,0.356505423784256,-0.3850087821483612,-0.8251932263374329,0.20892280340194702,120,674,34127
2026-02-17T21:33:38.255Z,25.93000030517578,29,986.2787475585938,-1948,3356,1473,34,-18,-498,,,,0.3732900619506836,-0.41857802867889404,-0.8052347302436829,0.1921381801366806,122,674,33762
2026-02-17T21:33:38.245Z,25.899999618530273,29,986.2085571289062,-1660,3099,939,-609,-194,600,,,,0.3821401298046112,-0.41705214977264404,-0.7966898679733276,0.21258489787578583,122,674,34285
2026-02-17T21:33:38.235Z,25.90999984741211,29,986.2319946289062,-1319,3075,1384,-35,-589,-135,,,,0.40850725769996643,-0.41174212098121643,-0.7836283445358276,0.22241154313087463,122,686,34206
2026-02-17T21:33:38.225Z,25.899999618530273,29,986.2787475585938,-3103,4014,1259,950,-250,-453,,,,0.43224987387657166,-0.44225960969924927,-0.7543315887451172,0.21997013688087463,125,686,33944
2026-02-17T21:33:38.215Z,25.920000076293945,29,986.2787475585938,-3148,4663,151,-305,-58,365,,,,0.43237194418907166,-0.44140511751174927,-0.7535991668701172,0.22412051260471344,125,680,33814
2026-02-17T21:33:38.205Z,25.920000076293945,29,986.2241821289062,-1275,3511,1469,-198,-69,-57,,,,0.43530163168907166,-0.44634896516799927,-0.7515239715576172,0.21533147990703583,123,680,33892
2026-02-17T21:33:38.195Z,25.90999984741211,29,986.25537109375,-1421,3995,1612,-245,180,265,,,,0.41247454285621643,-0.4898669123649597,-0.7568950057029724,0.13018766045570374,123,680,34472
2026-02-17T21:33:38.185Z,25.90999984741211,29,986.3177490234375,-1027,3563,1747,-1128,1498,224,,,,0.35375887155532837,-0.5350938439369202,-0.7662333846092224,0.03643789514899254,123,715,34206
2026-02-17T21:33:38.175Z,25.920000076293945,29,986.3177490234375,-1823,3435,1627,-1150,2155,107,,,,-0.2689202129840851,0.728574812412262,0.5965560674667358,0.20220895111560822,131,715,33970
2026-02-17T21:33:38.165Z,25.93000030517578,29,986.2787475585938,-3094,2252,-946,-1683,-137,336,,,,-0.33019936084747314,0.7913187742233276,0.4616687297821045,0.22711123526096344,131,667,34127
2026-02-17T21:33:38.155Z,25.920000076293945,29,986.2943725585938,-3808,1032,-2279,-625,-1333,1289,,,,-0.3842153251171112,0.8096292614936829,0.3826894462108612,0.22448672354221344,120,667,34179
2026-02-17T21:33:38.145Z,25.939998626708984,29,986.2943725585938,-1982,628,-3121,-1586,-2315,2504,,,,-0.5736679434776306,0.7750834822654724,0.17675736546516418,0.1970209777355194,120,659,33481
2026-02-17T21:33:38.135Z,25.93000030517578,29,986.2241821289062,-1145,-1186,-4174,-1149,-2139,2749,,,,-0.7028180360794067,0.6918317079544067,0.05419908091425896,0.15612752735614777,116,659,33032
2026-02-17T21:33:38.125Z,25.920000076293945,29,986.2943725585938,-1844,-1512,-4215,108,-1259,2580,,,,-0.7921122312545776,0.5993636846542358,0.007812479976564646,0.11456269770860672,116,662,33996
