timestamp,temperature_temperature,humidity_humidity,pressure_pressure,accelerometer_Ax,accelerometer_Ay,accelerometer_Az,gyroscope_x,gyroscope_y,gyroscope_z,led_R,led_G,led_B,quaternion_x,quaternion_y,quaternion_z,quaternion_w,bsec_bsec,co2_co2,gas_gas
2026-02-17T21:27:59.225Z,25.239999771118164,30,986.5361938476562,-1263,-3303,2017,14,-78,-113,,,,-0.23486268520355225,-0.4609973430633545,0.8394143581390381,0.16601519286632538,30,508,36221
2026-02-17T21:27:59.205Z,25.209999084472656,30,986.5127563476562,-1246,-3301,2174,58,13,153,,,,-0.23651061952114105,-0.4601428508758545,0.8395364284515381,0.16552692651748657,33,508,36520
2026-02-17T21:27:59.185Z,25.19999885559082,30,986.5361938476562,-1319,-3298,2187,-39,50,41,,,,-0.23034608364105225,-0.4577014744281769,0.8422830104827881,0.16711382567882538,33,514,36550
2026-02-17T21:27:59.165Z,25.209999084472656,30,986.5127563476562,-1259,-3226,2269,-247,154,46,,,,-0.22784365713596344,-0.4507434666156769,0.8472878932952881,0.16418415307998657,33,514,36430
2026-02-17T21:27:59.145Z,25.239999771118164,30,986.5517578125,-1311,-3150,2183,-15,44,-43,,,,-0.22064152359962463,-0.44482308626174927,0.8521706461906433,0.16485553979873657,33,514,36550
2026-02-17T21:27:59.125Z,25.239999771118164,30,986.5361938476562,-1176,-3177,2144,-9,-38,-58,,,,-0.22058048844337463,-0.44573861360549927,0.8522927165031433,0.16174274682998657,33,514,36490
2026-02-17T21:27:59.105Z,25.25,30,986.5361938476562,-1310,-3218,2341,-60,23,-3,,,,-0.21887150406837463,-0.4479968845844269,0.8511330485343933,0.16394001245498657,33,514,36400
2026-02-17T21:27:59.085Z,25.260000228881836,30,986.5517578125,-1197,-3232,2305,-89,30,-62,,,,-0.21978703141212463,-0.44726449251174927,0.8514992594718933,0.16265827417373657,33,514,36281
2026-02-17T21:27:59.065Z,25.279998779296875,30,986.5517578125,-1311,-3169,2401,68,17,84,,,,-0.21813908219337463,-0.4487903416156769,0.8508278727531433,0.16430622339248657,33,514,36340
2026-02-17T21:27:59.045Z,25.260000228881836,30,986.5361938476562,-1161,-3155,2282,-58,42,22,,,,-0.21874943375587463,-0.44702035188674927,0.8517434000968933,0.16339069604873657,33,514,36490
2026-02-17T21:27:59.025Z,25.260000228881836,30,986.5361938476562,-1279,-3189,2226,29,3,47,,,,-0.21636907756328583,-0.44567757844924927,0.8526589274406433,0.16552692651748657,33,514,36310
2026-02-17T21:27:59.005Z,25.25,30,986.5517578125,-1244,-3188,2365,55,-54,-86,,,,-0.22027531266212463,-0.44506722688674927,0.8527809977531433,0.16131550073623657,31,511,36370
2026-02-17T21:27:58.985Z,25.239999771118164,30,986.5517578125,-1330,-3010,2030,-214,54,-135,,,,-0.21044868230819702,-0.43652230501174927,0.8592507243156433,0.16369587182998657,31,511,36641
